sample_article	Country	year	article_number	New Type	Content	Female 	 Male	Female 	 Male	female_diff	Male_diff	FEMALE_ERROR	male_error	female_score	Male_score
47	Belgium	1992	32	Political	"BRUSSELS, Dec 14, Reuter - Hundreds of job-hunters from the west African state of Burkina Faso have been smuggled to Italy via Belgium, the Brussels public prosecutor's office said on Monday. 

A spokesman said two taxi drivers, a Belgian and a Moroccan, have been arrested in France in connection with the smuggling ring which he said has been working for over a year. 
 
TD 
 The Burkina Faso job-hunters, who came to Europe via Brussels Zaventem airport because they did not need a visa to enter Belgium, were forced to pay 20,000 Belgian francs ($620) for their trip by taxi from Zaventem to Lille, northern France. 

They were then charged ""an exorbitant price"" for their trip to Italy where they ended up working for poor pay in construction and mining jobs. 

""To these people, it must have been a fortune they had to pay,"" the spokesman said. 

The police and public prosecutor's office would give no further details but the Belgian daily Het Nieuwsblad said at least 20 people from Burkina Faso were smuggled to Naples each week where they worked in marble quarries and tile companies controlled by the local mafia. 
 
"	1	3	1	3	0	0			1	3
64	Belgium	1998	33	Political	"BRUSSELS, Dec 18 (Reuters) - The European Commission said on Friday it was taking Austria, Belgium and Portugal to court for breaching European Union environment laws. 

The EU's executive Commission said it was also issuing warning letters - the final stage before court action - to Belgium, Germany, Ireland, Greece and Italy about violations of the 15-nation bloc's green laws. 
 
TD 
 Since early December, the Commission has examined nearly 90 cases of alleged abuse of the environmental rules by the EU governments who approved them. Belgium is seen as one of the worst offenders. 

The legal action announced on Friday concerns Austria and Belgium's failure to impose adequate pollution controls on incineration plants dealing with hazardous waste, and Portugal's failure to curb air pollution from industrial plants. 

The Commission said it would take the matter to the European Court of Justice in Luxembourg. 

Belgium and Greece received warnings for failing to deal with pollution caused by poorly treated sewage water. 

Greece, Italy and Portugal were chastised for not setting up proper disposal facilities for dangerous waste. 

Germany and Ireland were taken to task for not assessing industrial and infrastructure projects for their impact on the environment before giving approval for them to go ahead. ((Gillian Handyside, Brussels Newsroom +32 2 287 6835, fax +32 2 230 5573, gillian.handyside@reuters.com)). 

 
"	1	1	1	1	0	0			1	1
72	Belgium	1990	51	Political	"BRUSSELS, Dec 20, Reuter - Concessions which the European Community offered on agriculture at stalled GATT world trade talks are still valid, EC trade commissioner Frans Andriessen said at a briefing, according to an EC spokesman. 

The EC originally offered to cut internal support by 30 pct between 1986 and 1996. The U.S. and Cairns group of 14 farm-exporting countries want 75 pct cuts in internal support and 90 pct off export subsidies. 
 
TD 
 But late in the week of December 7, the date by which four years of GATT negotiations were supposed to end, EC had offered some improvements. 

These involved limits on quantities exported with subsidies, improved access for imports amounting to three pct of domestic consumption, and taking oilseeds and soybeans out of the EC's controversial rebalancing plan. 

The starting point for resumed talks in Geneva on January 15 is therefore expected to incorporate these elements. 

Andriessen was quoted as saying that reaching a deal with the U.S. alone was not the community's ambition. Any compromise had to satisfy the Cairns group and developing countries which are not members of that group, he said. 

Andriessen added that GATT negotiators should not underestimate the principle the EC had conceded in proposing changes in its farm policy to meet GATT objectives, saying that this was more important than the figures now on offer. 

He said he still believed the GATT secretariat had acted too hastily in halting the talks, as the EC had been moving on agriculture and there had been progress in other areas. 

The EC's offer has not been published as a paper, and is partly incorporated in the community's answers to nine questions that GATT director-general Arthur Dunkel put to all participants before the week-long negotiations started. 
 
"	1	4	1	4	0	0			1	4
126	Belgium	1995	59	Political	"BRUSSELS, Dec 5 (Reuter) - A 17th-century Belgian Catholic university has courted controversy by deciding to install condom vending machines on campus, radio stations said on Tuesday. 

The University of Leuven, one of the oldest universities in Belgium with a reputation in theology and philosophy, said it would put machines near canteens, sports halls and other places where students gather. 
 
TD 
 Professor Dirk van Gerven, head of a student relations committee, said the machines were a responsible approach to AIDS. ""From a Christian perspective we must ensure sexual contact should only take place between long-term partners,"" he said. 

But the action could cause trouble, as Catholic Church teaching forbids the use of artificial birth control. 

Radio stations led their afternoon bulletins with the news. But Leuven is not setting a precedent -- under an education and health ministry programme condom machines were installed at some secondary schools as early as 1993. 

 
"	1	3	1	3	0	0			1	3
28	Belgium	2007	63	Corporate	"BRUSSELS, Dec 7 (Reuters) - Belgian banking and insurance group KBC said on Friday it believed a stand-alone strategy was in the best interest of its shareholders. 
 
TD 
 ""Regardless of upcoming consolidation moves, KBC believes that a well-executed stand-alone strategy is the most attractive value proposition for its stakeholders,"" Chief Executive Andre Bergen said in comments prepared for an investor presentation. 

""Neither large size, nor acquisitiveness, nor international presence, nor asset diversification alone lead to better returns,"" Bergen said. 

""(There is) no evident business case for us which shows that teaming up would create more value than when pursuing a stand-alone strategy."" 

KBC will seek to enhance its local positions in East and Central Europe, which it now refers to as its second home market, Bergen added. 

He also reiterated that KBC was confident it could deliver a minimum of 12 percent growth in earnings per share on average in ""the years to come"". (Reporting by Julien Ponthus, Editing by Erica Billingham) 
 
"	1	4	1	4	0	0			1	4
438	Belgium	2002	66	Political	"BRUSSELS, Dec 2 (Reuters) - Thor Pedersen, chairman of the Council of European Union finance ministers, said on Monday he saw tough talks on planned new EU rules to tax savings but he did not expect the debate to drag beyond Christmas. 

EU finance ministers will try to agree on Tuesday on a system of exchange of information on income from savings to crack down on cross-border tax evasion. 
 
TD 
 ""It is not going to be easy,"" Pedersen, who is Danish finance minister, told reporters ahead of the euro group meeting of finance ministers on Monday evening. That meeting was due to focus on the Stability and Growth Pact designed to encourage fiscal discipline. 

But asked whether he thought the EU would extend its self-imposed year-end deadline to agree on the issue, Pedersen said: ""We'll see what happens tomorrow, I am sure we are finished before Christmas."" 
 
"	1	5	1	4	0	1			1	4.5
132	Belgium	1991	67	Corporate	"BRUSSELS, Nov 22, Reuter - Dutch car leasing company Lease Plan Holding NV said it planned a three billion Belgian franc commercial paper programme, becoming the first non-resident issuer on the fledgling Belgian commercial paper market. 

The company said in a statement the programme also offered maturities up to two years, which was new on the Belgian market. 
 
TD 
 The programme is being issued through Generale Bank, which has pioneered the Belgian CP market. 

Marco Coppolse, Lease Plan's finance director, said at a news conference 500 million francs to one billion francs could be issued next week. 

But this would depend on the interest of institutional investors such as insurance companies, Sicav mutual funds and companies, he said. 

He said the previous commercial paper issues in Belgium had been for one year or less. ""The leasing sector typically needs funding on a longer basis,"" Coppolse said. 

Lease Plan, which is owned by Dutch ABN-Amro Bank via its Bank Mees & Hope NV subsidiary, said it will seek to use the programme in the one to six-month range but also in maturities of one year and over. 

The programme is in the form of promissory notes. Clearing and secondary trading is through Generale Bank, Belgium's largest bank. 

Lease Plan said it was market leader in fleet leasing in Belgium, the Netherlands and Luxembourg (Benelux) and the largest independent European car leasing company, with 140,000 cars under management. 

Commercial paper issues in Belgium so far have been made by Belgian companies Tractebel SA and Tessenderlo and Finnish Kemira Oy, through its Belgian coordination centre. Lease Plan is the first foreign company not to use a Belgian unit. 
 
"	1	3	1	3	0	0			1	3
140	Belgium	1998	80	Political	"BRUSSELS, Nov 30 (Reuters) - Belgian detectives who dissolved a human body in cleaning fluid while investigating a crime came under fire on Monday from newspapers which said their methods showed no respect for the dead. 

Brussels police, investigating allegations a Hungarian clergyman murdered up to 20 people and dissolved the bodies in cleaning agent, performed an experiment to see if it was possible by placing a dead body in a vat of ""Cleanest"". 
 
TD 
 Within 24 hours the body, which had been donated to medical science, disappeared without trace. 

Daily tabloid Het Laatste Nieuws quoted two professors of ethics who said they had ""serious reservations"" about the experiment. 

 
"	1	1	1	1	0	0			1	1
299	Belgium	2004	92	Political	"BRUSSELS, Oct 28 (Reuters) - Incoming EU Commission chief Jose Manuel Barroso faced pressure on Thursday to make sweeping changes to his team after withdrawing his first line-up to avoid a humiliating European Parliament defeat. 

His climbdown on Wednesday plunged the 25-nation bloc into political chaos just two days before EU leaders gather in Rome to sign a constitutional treaty intended to herald a new era of easier, cleaner decision-making in Brussels. 
 
TD 
 Barroso has vowed to win backing for a rejigged team within weeks. But top EU figures warned he would have to do more than replace Rocco Buttiglione, the Italian nominee for justice chief whose traditional Roman Catholic views sparked the dispute. 

""This is not just about Mr Buttiglione's candidacy, although that is, to put it diplomatically, a difficult case,"" Luxembourg Prime Minister Jean-Claude Juncker said of the Italian's comments that homosexuality is a sin and marriage is for women to have children. 

""There are three or four commissioners who did not have the support of the parliament. We need a somewhat broader change,"" Juncker told Germany's N-TV television, without giving names. 

Outgoing EU Commission President Romano Prodi also called for more than one change but voiced confidence the parliament, which has used the showdown to demonstrate it is no paper tiger, would give Barroso backing in a new vote next month. 

""I am confident the parliament will give a favourable vote on November 17,"" Prodi told Italian television. 

Barroso said he would consult EU leaders and the parliament before making new proposals in coming weeks. But he said he planned to change only ""what is necessary and sufficient"". 

Yet the pressure on Barroso could come from his most loyal supporters. 

Leaders of the conservative European People's Party said they would not tolerate Buttiglione being sacrificed alone. 

They are now seen pressing for other changes involving Hungarian Socialist Laszlo Kovacs (energy), Latvian Green Ingrida Udre (taxation) and Danish Liberal Mariann Fischer Boel (agriculture) or Dutch Liberal Neelie Kroes (competition). 

Others said Italy would likely join calls for wider changes so that their candidate Buttiglione, who has so far not shown any public signs of stepping down of his own accord, was not seen as being singled out as a scapegoat. 

""I don't think Italy will accept only one (change in commissioner),"" Jens Peter Bonde, leader of a eurosceptic group in the European Parliament, told Reuters. 

""I see three to four changes, mostly new people. It depends on the strength of reactions between prime ministers,"" he added. 

With the EU struggling to convince its publics of the benefits of its historic enlargement to the former Iron Curtain countries, the last thing it wants is to be preoccupied with the Brussels horse-trading that has tarnished its image in the past. 

EU leaders hope Friday's glittering ceremony in Rome to sign the EU's first constitutional treaty will mark a new start for the bloc. Yet they also acknowledge that national referendums due in several EU countries could still torpedo the text. 

Graham Watson, whose pivotal 88-member Liberals Group denied Barroso the votes he needed, suggested a limited reshuffle might just secure him a majority and warned the former Portuguese leader his own credibility was at stake in the coming weeks. 

""I hope he will not throw out the Barosso baby with the Buttiglione bathwater,"" he told reporters. - Additional reporting by the Rome bureau; Nick Antonovics in Berlin; Aine Gallagher and Lisa Jucca in Strasbourg. 
 
"	3	4	2	5	1	4			2.5	4.5
4	Belgium	2002	93	Corporate	"BRUSSELS, Dec 10 (Reuters) - The European Commission will formally propose new merger rules on Wednesday that will provide the opening shots for a tussle among the 15 European Union members over how best to regulate company acquisitions. 

The Commission has found a renewed urgency for the review because the European Union's court of first instance this year reversed three of the Commission's prohibitions. The court said the Commission was sloppy and failed to prove its case. 
 
TD 
 Competition Commissioner Mario Monti's proposals will mark the end of months of drafting, consulting and revising, but the final decision on merger rules will be up to the EU's 15 member states. 

Monti did much the same thing for a major overhaul of antitrust rules and it took member states nearly a year to settle differences before approving a final version this month. 

Companies want the rules updated because they believe they often do not get a fair deal before the Commission and do not like the way they are reviewed. 

One innovation is to improve the quality of the Commission's work by installing a chief economist, consulting with a review committee and seeking closer oversight from a member nation advisory committee. 

But member states find some of the Commission's proposals difficult or unworkable. 

For example, Brussels currently reviews the biggest cases while member state competition agencies review smaller cases. There has always been a question of where to draw the line between big and small. 

Monti proposed that mergers that need review in three or more countries should wind up in Brussels, to make life easier for companies. 

But Germany and some others raised objections, so Monti came up with a more complicated approach that some countries' competition officials find difficult to understand. 

The new approach ""does not solve the multiple jurisdiction problem,"" said an official of one EU state. ""I am sceptical as to whether it will address the problem."" 

POINTS TO SETTLE 

Some of the other areas addressed in the merger review changes and their prospects are: 

- Legal standard: The Commission decided to ban mergers that might make a firm dominant, instead of those which result in a ""substantial lessening of competition"". 

But Britain and Ireland say the old dominance test may lead to the approval of some mergers which are anti-competitive and could raise prices to consumers. 

Monti has added new clarifying language, but it probably does not go far enough. 

- More time: Some people think the Commission is having a tough time in court because the four months it has for an in-depth investigation is not enough. The new rule can add a month or two, depending on how it is used. 

- Guidelines: Lawyers designing mergers will get rules of the road laying out the criteria for evaluating mergers between firms of a similar type, known as horizontal mergers. 

For the first time, they will have written guidelines that allow them, in some circumstances, to argue for approval based on efficiencies. 

- More information for companies: The new rules open up third party objections to the merging parties sooner. They will also get regular briefings on the status of their deal. 

- Strengthening the court: Although a Commission ruling has been reversed three times, Monti is taking a strong stand in favour of granting the court more resources to help give companies the right to judicial review. 
 
"	1	2	1	2	0	0			1	2
336	Belgium	1995	96	Political	"BRUSSELS, Nov 19 (Reuter) - Belgian prime minister Jean-Luc Dehaene on Sunday brushed aside media criticism his government was focusing only on a future European economic and monetary union and ignoring the country's employment problems. 

He told BRTN television it would be totally wrong to attach more weight to a monetary union than to employment. 
 
TD 
 His centre-left government has been under attack for concentrating on reducing Belgium's budget deficit -- to meet one of the key conditions for entry into such a union -- while doing little to counter falling employment. 

Railway unions, fearing thousands of jobs are to go and wage increases might be curtailed in a restructuring drive to cut state spending and make transport by train more efficient, are in the middle of a series of strikes. 

In the private sector there has been a growing number of strikes and protests over jobs in recent weeks as well. 

In his first major television appearance since the October budget Dehaene defended his policies, saying towering debts and the accompanying high interest costs served nobody and nothing well, and that included those looking to create jobs. 

Massive government debt can be a factor in keeping interest rates high, raising the cost of investment and consumer credit and leading to large pay claims as a form of compensation. 

Dehaene said that while it was true jobs had been lost this was part of a transitional process as the Belgian economy readied itself for tomorrow's challenges. 

These included a more integrated Europe, a global information society, and a generally more competitive world in which production required fewer people and more capital. 

Dehaene attacked unions and employees for ""attaching more importance to consolidating the attainments of the past."" 

What was needed were lower wage costs, which implied cutting social security contributions paid by employers, particularly at the low end of the wage scale, and ensuring pay increases did not exceed those in other European Union countries. He proposed companies began linking pay rises to their profitability. 

""We are in a paradoxical situation: we have a relatively healthy economy which could use a dose of higher growth (creating jobs), and are also confronted with restructurings to boost productivity accompanied by large job losses,"" he said. 

Dehaene accused the Belgian media of presenting a one-sided picture, noting recently a number of foreign companies had announced investments which would create future jobs. 

He denied the government was doing little for employment. At present its job creation bills were going through parliament and were due to become effective early next year. 

There were other positive signs - exports were still growing after recovering at the end of 1994. Corporate investment rose by 17 percent in August. ""That is not nothing,"" he said. 

Car sales were up. Construction was being stimulated through government tax breaks, he noted. Company profits had risen, which would result in new investments. 

""By fiscal and other means we must mobilise savings for (investments in) the economy. We must give the consumer more confidence in the economy,"" he said. The current phase of low interest rates mean the time was right. 

Low rates mean savers get a lower return on their savings books compared with a period of rising interest rates. 

To encourage investment wage costs would have to be cut by speeding up reform in the costly social system. 

Pension costs would increasingly have to be borne by the employee rather than the state system. 

To ensure it remained viable in the next 10 to 15 years, Belgium would have to keep the current ratio in which one employee finances the social benefits for one fellow citizen from deteriorating, Dehaene said in the BRTN interview. 

 
"	1	5	1	5	0	0			1	5
321	Belgium	2003	99	Corporate	"BRUSSELS, Nov 20 (Reuters) - British broadcasting and photographic services firm Vitec Group Plc (VTC.L) is about to acquire Belgian digital electronics maker EVS Broadcast Equipment (EVSB.BR), a Belgian daily said on Thursday. 

EVS said last month it was in exclusive talks with a potential buyer who had made a friendly bid valuing the company at 98 million euros. 
 
TD 
 Financial daily L'Echo said the transaction would be made public before the end of next week. 

EVS is a digital electronics maker whose servers are used by TV broadcasters to show slow-motion instant replays at sporting events. 
 
"	1	1	1	1	0	0			1	1
469	Belgium	2005	99	Political	"BRUSSELS, Oct 1 (Reuters) - About 4,000 Turkish Kurds marched through the centre of Brussels on Saturday, demanding that Kurdistan is recognised and included in Turkey's entry talks with the European Union, planned to start on Monday. 

The demonstration, organised by the Confederation of Kurdish Associations in Europe, also called on Ankara to free Abdullah Ocalan, the leader of the Kurdistan Workers Party (PKK) who was captured in 1999. 
 
TD 
 PKK has been fighting for 20 years for a Kurdish homeland in southeast Turkey and demonstrators called for a political solution to be found as part of the planned EU-Turkey talks. 

Organisers had hoped that 15,000 Kurds living in Europe would march through downtown Brussels, but many busses carrying participants were delayed due to bad weather, police said. 

EU foreign ministers are scheduled to meet in an emergency session in Luxembourg on Sunday night in an attempt to agree a negotiating mandate in time for the poor, populous Muslim nation to begin long-awaited accession talks less than 24 hours later. 

EU president Britain is determined to clinch an agreement on Sunday, but Austria insists the EU must offer Ankara an explicit alternative to full membership. 

Turkey has warned it would walk away if offered such a second-class status. 

Austrian Foreign Ministry Secretary of State Hans Winkler repeated Vienna's demand, telling Austrian daily Kurier in an interview published on Saturday: ""We want the negotiations to start but we want everyone to know what we are talking about. There must be other options than full accession"". 

 
"	1	1	1	2	0	1			1	1.5
274	Belgium	1999	100	Political	"BRUSSELS, Dec 6 (Reuters) - The wedding of Crown Prince Philippe to Flemish aristocrat Mathilde d'Udekem d'Acoz, billed as a bridge across Belgium's language divide, has highlighted divisions instead. 

Philippe, 39, and Mathilde, 13 years his junior, married in a lavish ceremony in Brussels on Saturday. 
 
TD 
 Mathilde's Flemish birth and French upbringing should have been the perfect union of Belgium's two linguistic groups - the Dutch-speaking Flemish population and Francophone Walloons. 

But by Monday, it was a symbol of their differences. 

While leading French-language newspapers led their front pages with rapturous accounts of the wedding, the main Dutch-language papers studiously downplayed the event. 

Flemish De Morgen reported on page one that spectators had stripped flowers from Brussels' Cathedral St Michel following Saturday's wedding. Inside, a scathing commentary was headlined: ""Shame, emptiness and dissatisfaction."" 

Another newspaper found Mathilde's Dutch pronunciation wanting when she repeated her wedding vows. 

FRENCH TAKE A DIFFERENT VIEW 

By contrast, French-language newspaper Le Soir wrote in a front-page editorial: ""In the space of a few hours, Belgium appeared joyous"". 

In an allusion to the paedophile and food scandals that have rocked Belgium in recent years, Le Soir said, ""And the smile of Mathilde allowed the restoration... of an image tarnished by Dutroux and dioxin."" 

Fellow francophone newspaper La Libre Belgique published 12 pages of wedding cover on Monday to follow its 14-page special edition on Sunday. 

Yvan Vanden Berghe, professor of contemporary history at Antwerp UIA University, said Palace efforts to manipulate media coverage had clearly misfired. 

""We are creating an atmosphere and political expectations of Belgians uniting again, but of course this is not true,"" Vanden Berghe said. 
 
"	4	5	5	5	1	0			4.5	5
385	Brazil	2009	8	Corporate	"SAO PAULO, Nov 27 (Reuters) - Banco do Brasil , Brazil's largest lender, is likely to pay the city of Sao Paulo 726 million reais ($413 million) to handle its payroll, the largest of any municipality in the country, Valor Economico newspaper reported.

Both parties are also in advanced talks to transfer to Banco do Brasil management of Sao Paulo's banking relations with its suppliers, the newspaper said without citing its sources.
 
TD 
 Banco do Brasil did not return calls seeking comment.

State-run Banco do Brasil, which under the instructions of President Luiz Inacio Lula da Silva has been aggressively winning market share from private lenders in the wake of the global credit crisis, has gotten help from the federal government to win the Sao Paulo contracts, Valor said.

Itau Unibanco , the largest non-government bank in the country, currently runs a five-year payroll banking agreement for the city that expires in 2010, while Banco Bradesco is in charge of running Sao Paulo's banking affairs with suppliers, the newspaper said.

Payroll management is one of the banking industry's most profitable businesses, because banks offer services to customers that mostly enjoy long-term job stability and have wages above the national average.

Mayor Gilberto Kassab, a member of the opposition Democratas Party, is planning to use the proceeds from the sale of payroll management rights to Banco do Brasil to invest in public transport projects, the newspaper said.

If Sao Paulo signs with Banco do Brasil, it might have to return to Itau Unibanco part of the 510 million reais it received in Sept. 2005, Valor said.

 
"	1	2	1	3	0	1			1	2.5
31	Brazil	1996	9	Political	"BRASILIA, Dec 12 (Reuter) - Brazil's Senate approved a new corporate tax bill, aimed at reducing the scope for fraud and increasing the country's tax base, officials said on Thursday. 

The upper house approved in a show of hands the bill, which now goes for signature by President Fernando Henrique Cardoso, the official said. 
 
TD 
 The bill, which does not raise the rate of corporate tax but closes several loopholes, will bring Brazil's taxation system up to international standards, Federal Tax Secretary Everardo Maciel told reporters earlier on Thursday. 

It also seeks to simplify tax procedure, requiring payment on a quarterly basis, rather than monthly. 

-- William Schomberg, Brasilia newsroom 5561 2230358 

 
"	1	3	1	3	0	0			1	3
67	Brazil	1991	14	Corporate	"BRASILIA, Nov 26, Reuter - A visiting delegation of Japanese businessmen said they were impressed by Brazil's efforts to modernise and liberalise its economy but hinted they were unlikely to make major new investments until the government had agreed to a pact with the International Monetary Fund and stabilized the economy. 

President Fernando Collor de Mello and his government gave the Japanese Economic Mission to Latin America red-carpet treatment in an attempt to win back Brazil's traditional place as a major recipient of Japanese capital. 
 
TD 
 According to government figures, in 1980 Brazil was the third biggest recipient of Japanese investment; by 1990 it was the 10th. 

Shoichi Saba, vice chairman of the Keidanren business federation and leader of the mission, told a meeting with the heads of Brazilian state companies on Tuesday that Japan had been impressed by the scope of recent political and economic changes in Latin America, including Brazil. 

But, while stressing Brazil's potential for future growth, he said the government had to give more attention to basic infrastructure such as ports, electricity and communications. 

Economy Minister Marcilio Marques Moreira admitted to the delegation on Monday that ""there have been certain problems, which have created a certain distancing between our countries"" but added: ""Now we are trying....To reverse that reality."" 

An official at the Economy Ministry said, however, that the government did not expect any sudden rush of new Japanese money. ""The Japanese asked a lot of questions but there were no signs of any new investment now,"" the official said. 

Yukinori Ito, senior executive director of the Export- Import Bank of Japan, said the prospect that Brazil would soon win IMF approval for its economic programme and reach agreement with private bank creditors was very encouraging. 

Unofficially, he said, the fulfilment of these two conditions was likely to clear the way for a resumption of Japanese loans to Brazil. But Masaaki Kurahara, counsellor at Marubeni Corp, warned participants at the meeting that a stabilization of Brazil's chaotic economy was an essential precondition for any productive economic cooperation with Japan. 
 
"	1	4	1	4	0	0			1	4
185	Brazil	1999	18	Political	"BRASILIA, Nov 30 (Reuters) - A top Brazilian investigator criticised U.S. government programmes to fight drug trafficking in Latin America on Tuesday, saying they cut the flow of narcotics abroad but triggered a surge in the local markets. 

Congressional deputy Moroni Torgan, head of a landmark parliamentary investigation that created an uproar in Brazil with its findings of a huge organised crime network, said U.S. intervention turned transit countries into consumers of illegal drugs. 
 
TD 
 ""We have seen this in Venezuela, Argentina and Paraguay,"" the former federal police officer told a seminar in the Brazilian capital on money laundering. 

""The countries where the United States helps in the fight against drugs, the international traffic decreases, but the internal market grows,"" Torgan said. 

His pioneering commission, which uses parliamentary powers to call witnesses, has led to the arrest of at least 100 people including high-level politicians, judges, prominent businessmen and police officers on charges of drug trafficking. 

Known as ""The Untouchables"" for the U.S. investigators who put legendary gangster Al Capone behind bars, the members of the commission have uncovered extensive organised crime on a scale unheard of before in Brazil. 

After a decade of a U.S.-backed war on trafficking in South America, Brazil, which shares borders with every country on the continent except two, has become a common route for mafias in drug producing countries to export to North America and Europe. 

 
"	1	3	1	3	0	0			1	3
387	Brazil	1993	27	Political	"BRASILIA, Dec 10 (Reuter) - A congressional inquiry's interim report on a bribery scandal was cancelled amid signs of discord in the investigation, televison reported. 

The panel voted 12-4 to cancel the interim account and issue only a final report at the end of the investigation, scheduled for Jan. 17, Globo television said. 
 
TD 
 Dep. Roberto Magalhaes, chosen to write the report, had wanted to issue it by the end of next week to show what progress the panel had made in its seven weeks of investigating a bribery and kickback scheme centred on budget allocations. 

Committee members had said it could recommend that up to a dozen legislators be expelled for their role in the scandal. 

However, Magalhaes said there had been resistance to issuing an interim report from panel members, party leaders and other legislators. 

""If the parties are finding the report inconvenient and if the majority of Congress thinks so too, our going against their wishes can lead to a confrontation,"" Magalhaes said. 

""That confrontation between the panel and Congress and parties is only going to lead to the weakest party losing,"" he said. 

 
"	1	3	1	3	0	0			1	3
255	Brazil	2005	28	Political	"BRASILIA, Brazil, Nov 25 (Reuters) - A 36-year-old Briton imprisoned in Brazil on child abuse charges is on hunger strike to protest his innocence and is beginning to weaken after going 24 days without food. 

Drinking only water and herbal tea, Craig Alden is demanding Brazil gives him a fair trial after he was imprisoned in 2002 having being found guilty of abusing children at an orphanage he founded in the town of Planaltina, Goias state. 
 
TD 
 ""If I'm not allowed to be free and have my human rights, I don't want to live like this,"" Alden said by telephone on Friday from the prison in the rural town 35 miles (55 km) from the capital Brasilia. 

Alden, from Cambridgeshire, England, said he was framed by local officials after he refused to go along with what he alleged were embezzlement and other corrupt practices. 

A Planaltina judge convicted him to 48 years in prison after several interns accused him of molesting them at the orphanage he founded in 1992 to help street children. 

Alden, who is married to a Brazilian and has a 10-year-old son, said he never got a defense in his trial after his lawyer missed a deadline to file a statement. 

Alden and his supporters have demanded British Prime Minister Tony Blair intervene on his behalf. 

He is complaining of muscle pain and extreme fatigue. His doctor told him he may be able to go for 30 or 40 days before his life is in danger. 

The British embassy in Brasilia said it was pressing Brazilian authorities to respond to an independent lawyer's report that questioned whether Alden received a fair trial. 

Alden said he could not wait any longer for justice. 

""I need my government, or the Brazilian one, to stand up and say 'this guy says he's innocent, let him prove it',"" he said. 
 
"	1	5	2	5	1	0			1.5	5
167	Brazil	2004	30	Corporate	"RIO DE JANEIRO, Brazil, Nov 26 (Reuters) - Brazil's state-run BNDES development bank is loaning national oil firm Petrobras (PETR4.SA) (PBR.N) $378 million to help it build its planned P-52 offshore oil rig, the bank said on Friday. 

The loan, which was negotiated over almost two years, was contingent on state-owned Petroleo Brasileiro (Petrobras) using the cash to pay domestic suppliers. 
 
TD 
 The total cost of the P-52 rig is $895 million and is part of Petrobras' planned $2.4 billion investment in three new oil platforms. 

The loan will carry an interest rate of Libor plus 2 percent, with total cost estimated at 5.4 percent per year and amortization in up to 10 years from when the rig starts operation, the National Economic and Social Development Bank (BNDES) said. 

The P-52 rig is scheduled to start operating in 2006 in the Campos basin and handle production of 180,000 barrels per day of oil and gas. 
 
"	1	1	1	1	0	0			1	1
165	Brazil	2002	31	Corporate	"RIO DE JANEIRO, Brazil, Dec 5 (Reuters) - Brazil's state oil giant Petroleo Brasileiro SA (Petrobras) (PETR4.SA) (PBR.N) discovered a deep-sea oil field in the Campos Basin off the coast of Espirito Santo state, the company said Thursday. 

A company spokeswoman said the field - drilled at almost 1,500 meters under the sea about 76 kilometers off the coast in block BC-60 of the Campos Basin - was evaluated at 300 million barrels. 
 
TD 
 The area near well 1-ESS-116 should yield 20,000 barrels per day (bpd) but no date has been forecast for production to begin. 

Petrobras has 9.3 billion barrels of proven reserves and plans to raise this volume to 13 billion by 2005. The company produces an average of 1.5 million bpd and is expected to pump up production to 1.9 million bpd by then. 

The crude from the new field is very heavy at 19 degrees on the scale of the American Petroleum Institute (API), although slightly better than the 17 degrees API recently found in the nearby Jubarte field. 

The new well is about 10 kilometers from the large Jubarte field, which has been estimated at 600 million barrels and began oil and gas production in October. The Jubarte is putting out 17,000 barrels a day with the potential for 25,000 barrels. 

The new find did not surprise the market but was considered a positive sign, confirming Petrobras' expectations for the region. 

""It's within the company's plan to boost its proven reserves and shows that the Jubarte field is extremely strategic,"" said Fator Doria Atherino analyst Luiz Paulo Foggetti. 

""This is very significant because other petroleum companies are growing at 1-2 percent, against Petrobras that is growing at 10-12 percent,"" he said. 

The discovery was made in the Campos Basin, Brazil's main petroleum reserve off the coast of Rio de Janeiro and Espirito Santo. The basin accounts for about 80 percent of the country's oil production. 

Brazil, Latin America's No. 3 oil producer, officially opened its reserves to foreign exploration companies in 1998. However, Petrobras remains the only refiner. 

Petrobras shares (PETR4.SA) in intraday trading were down 0.44 percent at 44.80 reais from Wednesday's close. 
 
"	1	3	1	3	0	0			1	3
